,Company,Q1 P/E,Q2 P/E,Q3 P/E,Q1 ROE,Q2 ROE,Q3 ROE,Q1 Date,Q2 Date,Q3 Date
24,NXPI,317.00808469385964,-1127.986024457143,-145.54516056074766,0.012074992055926279,-0.0023240371845949536,-0.02414804784473031,2019-12-31,2020-03-29,2020-06-28
25,TSLA,717.1371428571429,6517.2501865625,2149.23727125,0.01586582048957389,0.0017442494276681565,0.010553018772196854,2019-12-31,2020-03-31,2020-06-30
26,REGN,54.18859090909091,89.98107428754403,81.9439819458375,0.07141762175712599,0.05147943624824858,0.09906816525713781,2019-12-31,2020-03-31,2020-06-30
27,FB,92.83589604027759,97.58922888616891,126.25232329084588,0.07272349436934708,0.04655093823596444,0.04688221499904932,2019-12-31,2020-03-31,2020-06-30
28,TXN,79.10051073253832,84.7075806521739,97.19850964745012,0.15179725885699508,0.18053375196232338,0.16252252252252253,2020-03-31,2020-06-30,2020-09-30
29,TCOM,-6.664258765260546,3.5067993860655733,1.6142676726095617,-0.004376771615061307,0.0454782673525684,0.019411844318555325,2019-06-30,2019-09-25,2019-12-31
30,CHKP,81.80479015109123,86.74786516853932,78.00161914460286,0.05156245491531292,0.05137085137085137,0.057651099304312094,2020-03-31,2020-04-27,2020-06-30
31,CERN,148.69322829891595,132.92887203636883,156.0353426395939,0.03574687862492727,0.038093707118078614,0.0335359540629007,2019-12-28,2020-03-31,2020-06-30
32,EA,91.35242774566474,69.97521531100479,105.64000000000001,0.04780986596656073,0.05602466157351561,0.04690310974042663,2019-12-31,2020-03-31,2020-06-30
33,INTU,307.2278,65.59798450184502,181.75658426966294,0.06439495572846794,0.22869198312236286,0.08715236976106541,2020-01-31,2020-04-30,2020-07-31
34,ADP,112.02460796500921,71.47549789255696,155.6544387755102,0.12146745209156662,0.1495073487897718,0.0715552310420361,2019-12-31,2020-03-31,2020-06-30
35,VRTX,98.41138668184638,104.02834038154931,91.33078329571106,0.09584397930469181,0.09328153441827743,0.11135031961998297,2019-12-31,2020-03-31,2020-06-30
36,ISRG,189.23814354066985,1003.0683970588236,264.01487553488374,0.03685330386636416,0.007779875293175448,0.033906543671282596,2020-03-31,2020-06-30,2020-09-30
37,EXPE,208.10773631578948,-6.090784173712529,-15.755595652173914,0.019158053945046636,-0.5731277533039647,-0.26705370101596515,2019-12-31,2020-03-31,2020-06-30
38,CMCSA,64.61722637571157,73.4954575221239,60.10068942436412,0.03822256606145589,0.026341619021912496,0.03573564235654316,2019-12-31,2020-03-31,2020-06-30
39,AMZN,285.54443084455323,389.17487968441816,267.8312856952126,0.052658717370286816,0.03883748008334355,0.07111273871527778,2019-12-31,2020-03-31,2020-06-30
