,Company,Symbol,Q3 Date,Q3 Price,Q2 Date,Q2 Price,Q1 Date,Q1 Price
123,Paccar Inc,PCAR,2020-06-30,74.5797,2020-03-31,60.6293,2019-12-31,78.1191
124,Oracle Corp,ORCL,2020-08-31,57.220001,2020-05-31,,2020-02-29,
125,JPMorgan Chase & Co,JPM,2020-06-30,93.1523,2020-03-31,88.2442,2019-12-31,135.7633
126,Honeywell International Inc,HON,2020-06-30,143.777,2020-03-31,132.0641,2019-12-31,173.7761
127,Home Depot Inc,HD,2020-08-02,,2020-05-03,,2020-02-02,
128,Deere & Co,DE,2020-08-02,,2020-05-03,,2020-02-02,
129,Cummins Inc,CMI,2020-06-28,175.0304,2020-03-29,,2019-12-31,175.0304
130,Chevron Corp,CVX,2020-06-30,87.9619,2020-03-31,70.3967,2019-12-31,115.7259
131,Campbell Soup Co,CPB,2020-08-02,,2020-04-26,,2020-01-26,
132,Atmos Energy Corp,ATO,2020-06-30,99.017,2020-03-31,98.0887,2019-12-31,110.0402
133,Keysight Technologies Inc,KEYS,2020-07-31,99.89,2020-04-30,96.77,2020-01-31,92.99
134,Corteva Inc,CTVA,2020-06-30,26.6579,2020-03-31,23.2535,2019-12-31,29.1101
135,Raymond James Financial Inc,RJF,2020-06-30,68.83,2020-03-31,62.8581,2019-12-31,88.4649
136,Abbott Laboratories,ABT,2020-06-30,91.0764,2020-03-31,78.2752,2019-12-31,85.7969
137,Alexandria Real Estate Equities Inc,ARE,2020-06-30,162.25,2020-03-31,136.1622,2019-12-31,159.3692
138,United Airlines Holdings Inc,UAL,2020-09-30,34.75,2020-06-30,34.61,2020-03-31,31.55
139,J B Hunt Transport Services Inc,JBHT,2020-06-30,120.0935,2020-03-31,91.7921,2019-12-31,115.9457
140,Skyworks Solutions Inc,SWKS,2020-06-26,125.4141,2020-03-27,86.4491,2019-12-27,120.9213
141,Nielsen Holdings PLC,NLSN,2020-06-30,14.803,2020-03-31,12.442,2019-12-31,20.0725
142,KeyCorp,KEY,2020-06-30,12.0035,2020-03-31,10.0602,2019-12-31,19.4132
143,Monster Beverage Corp,MNST,2020-06-30,69.32,2020-03-31,56.26,2019-12-31,63.55
144,Mosaic Co,MOS,2020-06-30,12.4766,2020-03-31,10.7484,2019-12-31,21.4336
145,Carmax Inc,KMX,2020-08-31,106.93,2020-05-31,,2020-02-29,
146,Berkshire Hathaway Inc. Class B,BRK.B,2020-03-31,182.83,2019-12-31,226.5,2019-09-30,208.02
147,Ross Stores Inc,ROST,2020-08-01,,2020-05-02,,2020-02-01,
