,Company,Symbol,Q3 Date,Q3 Price,Q2 Date,Q2 Price,Q1 Date,Q1 Price
79,W. R. Berkley Corp,WRB,2020-06-30,57.29,2020-03-31,52.0633,2019-12-31,68.8328
80,Teleflex Inc,TFX,2020-06-28,375.3423,2020-03-29,,2019-12-31,375.3423
81,Diamondback Energy Inc,FANG,2020-06-30,41.4672,2020-03-31,25.7406,2019-12-31,90.68
82,MSCI Inc,MSCI,2020-06-30,333.0861,2020-03-31,287.7405,2019-12-31,256.564
83,IQVIA Holdings Inc,IQV,2020-09-30,157.630005,2020-06-30,141.88,2020-03-31,107.86
84,Align Technology Inc,ALGN,2020-06-30,274.44,2020-03-31,173.95,2019-12-31,279.04
85,IHS Markit Ltd,INFO,2020-08-31,79.919998,2020-05-31,,2020-02-29,
86,UDR Inc,UDR,2020-06-30,37.0116,2020-03-31,35.8156,2019-12-31,45.4319
87,Activision Blizzard Inc,ATVI,2020-06-30,75.9,2020-03-31,59.0914,2019-12-31,59.0318
88,United Rentals Inc,URI,2020-06-30,149.04,2020-03-31,102.9,2019-12-31,166.77
89,Facebook Inc,FB,2020-06-30,227.07,2020-03-31,166.8,2019-12-31,205.25
90,PVH Corp,PVH,2020-08-02,,2020-05-03,,2020-02-02,
91,LyondellBasell Industries NV,LYB,2020-06-30,64.7188,2020-03-31,48.1799,2019-12-31,90.3612
92,Perrigo Company PLC,PRGO,2020-06-27,51.0389,2020-03-28,,2019-12-31,51.0389
93,Eversource Energy,ES,2020-06-30,83.27,2020-03-31,77.6533,2019-12-31,83.952
94,Iron Mountain Inc,IRM,2020-06-30,26.1,2020-03-31,23.2664,2019-12-31,30.4313
95,Amphenol Corp,APH,2020-06-30,95.81,2020-03-31,72.6882,2019-12-31,107.6062
96,Pioneer Natural Resources Co,PXD,2020-06-30,97.7,2020-03-31,69.74,2019-12-31,149.2797
97,American Tower Corp,AMT,2020-06-30,258.54,2020-03-31,215.9405,2019-12-31,227.9102
98,Mondelez International Inc,MDLZ,2020-06-30,51.13,2020-03-31,49.795,2019-12-31,54.4406
99,CME Group Inc,CME,2020-06-30,162.54,2020-03-31,172.1435,2019-12-31,199.0448
100,Boston Properties Inc,BXP,2020-06-30,90.38,2020-03-31,91.1939,2019-12-31,134.8875
101,Vornado Realty Trust,VNO,2020-06-30,37.6435,2020-03-31,35.0485,2019-12-31,63.7477
102,National Oilwell Varco Inc,NOV,2020-06-30,12.25,2020-03-31,9.83,2019-12-31,24.9305
103,Gilead Sciences Inc,GILD,2020-06-30,76.94,2020-03-31,74.1004,2019-12-31,63.8124
104,McCormick & Company Inc,MKC,2020-08-31,206.199997,2020-05-31,,2020-02-29,
105,Anthem Inc,ANTM,2020-06-30,262.98,2020-03-31,226.3224,2019-12-31,299.9591
106,Equity Residential,EQR,2020-06-30,58.82,2020-03-31,61.1092,2019-12-31,79.335
107,Zimmer Biomet Holdings Inc,ZBH,2020-06-30,119.36,2020-03-31,100.8696,2019-12-31,148.9982
108,Fiserv Inc,FISV,2020-06-30,97.62,2020-03-31,94.99,2019-12-31,115.63
109,Starbucks Corp,SBUX,2020-06-28,,2020-03-29,,2019-12-29,
110,CMS Energy Corp,CMS,2020-06-30,58.0377,2020-03-31,57.9297,2019-12-31,61.5903
111,L Brands Inc,LB,2020-08-01,,2020-05-02,,2020-02-01,
112,Apache Corp,APA,2020-06-30,13.4752,2020-03-31,4.16,2019-12-31,25.2728
113,PPL Corp,PPL,2020-06-30,25.84,2020-03-31,24.3458,2019-12-31,34.928
114,U.S. Bancorp,USB,2020-06-30,36.82,2020-03-31,34.0488,2019-12-31,57.9114
115,Darden Restaurants Inc,DRI,2020-08-30,,2020-05-31,,2020-02-23,
116,Loews Corp,L,2020-06-30,34.2313,2020-03-31,34.7017,2019-12-31,52.2337
117,Xcel Energy Inc,XEL,2020-06-30,62.5,2020-03-31,59.9016,2019-12-31,62.6646
118,Weyerhaeuser Co,WY,2020-06-30,22.46,2020-03-31,16.95,2019-12-31,29.8378
119,Wells Fargo & Co,WFC,2020-06-30,25.4951,2020-03-31,28.0132,2019-12-31,51.9582
120,S&P Global Inc,SPGI,2020-06-30,328.8668,2020-03-31,244.0685,2019-12-31,271.3299
121,PNC Financial Services Group Inc,PNC,2020-06-30,104.0474,2020-03-31,93.5679,2019-12-31,154.8763
122,Parker-Hannifin Corp,PH,2020-06-30,182.5012,2020-03-31,128.4445,2019-12-31,202.9284
