,Symbol,Q1 P/E,Q2 P/E,Q3 P/E,Q1 ROE,Q2 ROE,Q3 ROE,Q1 Date,Q2 Date,Q3 Date
16,ALB,85.04066137557942,55.74900315659863,96.06614208633093,0.022987093902981752,0.02764411795346266,0.021275834444866307,2019-12-31,2020-03-31,2020-06-30
17,ARE,90.50085324613099,898.187984092726,87.92221341670513,0.022833856653627086,0.0020128535151083616,0.024349834171664135,2019-12-31,2020-03-31,2020-06-30
18,ALXN,27.128740157480316,35.84514705882353,-23.181484879692913,0.07886939086924892,0.04746420606411413,-0.10181301711976208,2019-12-31,2020-03-31,2020-06-30
19,ALGN,182.2704504296482,9.055160984131145,-532.4211703856953,0.09007932882126984,0.5321194718942134,-0.014271127521708796,2019-12-31,2020-03-31,2020-06-30
20,ALLE,21396.605625,128.57251017639078,62.214325184479236,0.0006543432030099788,0.10878228782287823,0.17821181608637632,2020-03-31,2020-06-30,2020-09-30
21,LNT,113.45905877192983,67.44285225955967,86.67895777940102,0.021091191652328357,0.030267957351290686,0.02381573682654002,2019-12-31,2020-03-31,2020-06-30
22,ALL,20.3981912464749,53.25971657559198,24.453861840000002,0.06819755365797368,0.022711289455177263,0.046320314237011787,2019-12-31,2020-03-31,2020-06-30
23,GOOGL,87.25841554399776,125.55909997805735,149.4421742994683,0.052973064207067044,0.03356591164642859,0.03356614348694301,2019-12-31,2020-03-31,2020-06-30
24,GOOG,87.10401507450098,125.65204148319191,148.97426184652966,0.052973064207067044,0.03356591164642859,0.03356614348694301,2019-12-31,2020-03-31,2020-06-30
25,MO,-48.95447014925373,45.304672293814434,37.5531394750386,-0.2907425265188042,0.23720006113403638,0.34159634317862164,2019-12-31,2020-03-31,2020-06-30
26,AMZN,285.54443084455323,389.17487968441816,267.8312856952126,0.052658717370286816,0.03883748008334355,0.07111273871527778,2019-12-31,2020-03-31,2020-06-30
27,AMCR,91.22397058189655,69.80217162534434,88.74332998324958,0.034758507032230275,0.038294370832981685,0.038716790246222356,2019-12-31,2020-03-31,2020-06-30
28,AEE,199.61705872340426,122.96770623287671,71.77878189300411,0.011663978161062167,0.01805813234384663,0.029536890725659414,2019-12-31,2020-03-31,2020-06-30
29,AAL,-2.315681155734047,-2.711421136913401,-2328.5067403084618,0.8501517450682853,0.6522562322499211,0.433972503617945,2020-03-31,2020-06-30,2020-09-30
30,AEP,304.1800350747764,79.88259116799397,76.04641225556836,0.0078017392541842225,0.025033364338577262,0.025940776529773616,2019-12-31,2020-03-31,2020-06-30
31,AXP,59.123556408741884,186.59405994550409,296.8476653696498,0.07338216808980971,0.017471198705131866,0.012202070078814927,2019-12-31,2020-03-31,2020-06-30
32,AIG,48.41537356930033,12.062174921638078,-3.4096962545156404,0.014145413018652455,0.02906619247835408,-0.12739017257447696,2019-12-31,2020-03-31,2020-06-30
33,AMT,180.65295725039988,231.98357830361445,258.4049634162744,0.11130672152549749,0.11418666079683029,0.12322183244482501,2019-12-31,2020-03-31,2020-06-30
34,AWK,224.1731173469388,173.06504758064517,131.82703068181817,0.01601045580787453,0.019862245715201024,0.027769012306721363,2019-12-31,2020-03-31,2020-06-30
35,AMP,46.34420701943844,6.355382770137524,-34.56372912801484,0.0808168964915343,0.30419841625578964,-0.08292307692307692,2019-12-31,2020-03-31,2020-06-30
36,ABC,92.76531899701557,18.910002479701166,71.26885026551363,0.06350719177317196,0.26744267655176446,0.0750376174540839,2019-12-31,2020-03-31,2020-06-30
37,AME,103.46736393329014,59.13869507654588,123.86909864815273,0.04315850752967652,0.052687916247887955,0.030295966054490708,2019-12-31,2020-03-31,2020-06-30
38,AMGN,82.79454010569583,65.1047109041096,76.9273628397116,0.17605706606016747,0.19240906694781235,0.16915282859555306,2019-12-31,2020-03-31,2020-06-30
39,APH,104.06096906181361,92.02368153655513,113.02382615444316,0.07034854203915855,0.05520087555292079,0.054383151141687416,2019-12-31,2020-03-31,2020-06-30
40,ADI,197.21881124223785,142.24009685239974,117.20107530999682,0.017440754823317337,0.02309544297756042,0.030792880698548766,2020-02-01,2020-05-02,2020-08-01
41,ANSS,135.01251658104817,440.9228775182355,262.6367571765876,0.04802600583370664,0.013991222075417255,0.028086867897132325,2019-12-31,2020-03-31,2020-06-30
42,ANTM,82.825965620985,38.101814418910045,29.51014586994728,0.02943772062531518,0.04805477550247689,0.0660571760267015,2019-12-31,2020-03-31,2020-06-30
43,AON,130.94244,49.89661839378238,112.80385527638191,0.11081481481481481,0.24360997159987377,0.11052485420716468,2019-12-31,2020-03-31,2020-06-30
44,APA,-3.2015610215053765,-0.35100000000000003,-13.195921243523316,-0.9142857142857143,3.595505617977528,0.236085626911315,2019-12-31,2020-03-31,2020-06-30
45,AIV,55.78923018155671,760.296017316275,140.88182979747802,0.0749794035770104,0.003913930787123971,0.023118211178719584,2019-12-31,2020-03-31,2020-06-30
46,AAPL,58.05649333264759,97.00579304460521,136.85094622404264,0.24836090292747764,0.1434364042078419,0.15568191250933844,2019-12-28,2020-03-28,2020-06-27
47,AMAT,60.72982769058296,61.93183298013245,68.849938882283,0.10300230946882218,0.08366578014184398,0.08788797157487721,2020-01-26,2020-04-26,2020-07-26
48,APTV,106.096592,8.013402798982188,-54.9336,0.06022518984027232,0.31623415811707906,-0.052722558340535866,2019-12-31,2020-03-31,2020-06-30
49,ADM,50.62187003968254,49.82788542199488,47.42417228144989,0.026239067055393587,0.02063106796116505,0.024309334991965997,2019-12-31,2020-03-31,2020-06-30
50,ANET,62.57765332269498,116.96545174130073,115.0259953174532,0.09005881812396924,0.048592297318263734,0.04768444282414886,2019-12-31,2020-03-31,2020-06-30
51,AJG,182.83736365482233,45.07557401097314,122.59909128171763,0.019105809329841916,0.06885376279948305,0.028003498159822178,2019-12-31,2020-03-31,2020-06-30
52,AIZ,62.562957625109725,42.3278254648093,36.55136419832678,0.022572884234361733,0.028808193668528864,0.029843493414658667,2019-12-31,2020-03-31,2020-06-30
53,T,114.24017059314954,44.06173492407809,166.31433489461358,0.01299526112658166,0.0259310717238819,0.007282712511938873,2019-12-31,2020-03-31,2020-06-30
54,ATO,74.74195111628505,28.7822037804881,103.42266848910357,0.02915789173068528,0.06635334126957061,0.0182297498510788,2019-12-31,2020-03-31,2020-06-30
